,playerId,Name,SB,AB_L,AVG_L,OBP_L,SLG_L,wRC+_L,wOBA_L,AB_R,AVG_R,OBP_R,SLG_R,wRC+_R,wOBA_R
15,8623,Donovan Solano,0,140,0.285714285,0.346405228,0.4,110.04525386664044,0.3285213969891367,254,0.279527559,0.38047138,0.385826771,119.81385948379294,0.3426150294977265
16,8709,Elvis Andrus,12,93,0.258064516,0.339622641,0.333333333,87.33761993705444,0.2990692076228913,281,0.24911032,0.290969899,0.366548042,78.94678894711748,0.2869633561791385
17,9218,Paul Goldschmidt,11,149,0.295302013,0.376470588,0.449664429,123.57309015559498,0.3521906647337488,444,0.259009009,0.358527131,0.445945945,121.76901212160034,0.349499554021813
18,9241,Starling Marte,24,88,0.272727272,0.319148936,0.34090909,83.5669965231442,0.2892013499813695,227,0.237885462,0.293877551,0.317180616,73.05172972000537,0.2735159158706665
19,9368,Evan Longoria,0,104,0.23076923,0.301724137,0.432692307,96.4880100371852,0.3156117062116491,107,0.214953271,0.289256198,0.411214953,86.9208497427016,0.3013405455045463
20,9627,Yan Gomes,1,128,0.28125,0.316546762,0.5078125,116.06578548973864,0.3430395035640053,254,0.259842519,0.314285714,0.358267716,84.68479134664541,0.2962290397712162
21,9777,Nolan Arenado,3,132,0.219696969,0.275862068,0.386363636,74.92933041256215,0.2796296443972554,428,0.280373831,0.327623126,0.481308411,116.71033430755116,0.3419536154331832
22,9847,Andrew McCutchen,11,134,0.261194029,0.382716049,0.410447761,119.96355993113109,0.3523722088631288,256,0.25390625,0.376205787,0.390625,112.73377484433786,0.3415876686573028
23,9874,DJ LeMahieu,2,94,0.255319148,0.357142857,0.404255319,115.515778166534,0.3353045572127615,403,0.240694789,0.32,0.387096774,97.54733498297176,0.3093806285677211
24,9952,Trayce Thompson,2,68,0.117647058,0.259259259,0.205882352,37.93868918453384,0.2269166597613582,85,0.2,0.306122448,0.364705882,87.17356712833733,0.2988637521558878
25,10155,Mike Trout,2,86,0.279069767,0.354166666,0.418604651,109.38088249135042,0.3321973795586444,222,0.256756756,0.372180451,0.518018018,142.81701115613947,0.3804372746245305
26,10243,Randal Grichuk,2,122,0.327868852,0.388059701,0.606557377,155.29403408500255,0.4152204285968434,312,0.243589743,0.293768545,0.400641025,78.55318463701336,0.3003743163555949
27,10324,Marcell Ozuna,0,126,0.277777777,0.345323741,0.634920634,155.51533244778906,0.405430119106735,404,0.272277227,0.346578366,0.534653465,134.10360810417896,0.3734906355276802
28,10472,Enrique Hernandez,4,142,0.239436619,0.304347826,0.338028169,72.55058837745149,0.2809361629188061,323,0.235294117,0.282420749,0.365325077,72.03936229652325,0.2821826319873161
29,10642,Carlos Perez,0,91,0.285714285,0.3125,0.428571428,106.61366772017034,0.3187431556483109,77,0.155844155,0.27173913,0.272727272,59.43380915709007,0.2506745269765024
30,10815,Jurickson Profar,1,131,0.27480916,0.346938775,0.427480916,97.3159890629933,0.3369674556920317,328,0.228658536,0.310991957,0.344512195,67.85831750482522,0.2916844170790255
31,10950,Adam Duvall,4,86,0.244186046,0.279569892,0.476744186,90.9745486420156,0.3117950208809065,234,0.247863247,0.311538461,0.551282051,124.38662366005492,0.3600002126051829
32,11038,Kevin Kiermaier,14,89,0.280898876,0.326315789,0.382022471,98.05361241044191,0.3110718149887888,281,0.259786476,0.32051282,0.430604982,106.14833042074136,0.3227504501358056
33,11281,Whit Merrifield,26,135,0.259259259,0.299319727,0.392592592,86.9219901656711,0.2950116934841626,412,0.276699029,0.323595505,0.378640776,95.30499195683522,0.3071062493700165
